id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,bldgtype,landslope,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,roofmatl,exterior1st,masvnrtype,masvnrarea,exterqual,extercond,foundation,mosold,yrsold,saletype,salecondition,saleprice,lotshape_r,lotshape_desc,landcontour_r,landcontour_desc,bldgtype_r,bldgtype_desc,landslope_r,landslope_desc,housestyle_r,housestyle_desc,roofstyle_r,roofstyle_desc,roofmatl_r,roofmatl_desc,exterior1st_r,exterior1st_desc,masvnrtype_r,masvnrtype_desc,exterqual_r,exterqual_desc,extercond_r,extercond_desc,foundation_r,foundation_desc,saletype_r,saletype_desc,salecondition_r,salecondition_desc,monthyear
1,60,RL,65.0,8450,Reg,Lvl,1Fam,Gtl,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,BrkFace,196.0,Gd,TA,PConc,2,2008,WD,Normal,208500,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-02-01
2,20,RL,80.0,9600,Reg,Lvl,1Fam,Gtl,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,None,0.0,TA,TA,CBlock,5,2007,WD,Normal,181500,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2007-05-01
3,60,RL,68.0,11250,IR1,Lvl,1Fam,Gtl,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,BrkFace,162.0,Gd,TA,PConc,9,2008,WD,Normal,223500,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-09-01
4,70,RL,60.0,9550,IR1,Lvl,1Fam,Gtl,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,BrkTil,2,2006,WD,Abnorml,140000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,1,"Abnormal Sale -  trade, foreclosure, short sale",2006-02-01
5,60,RL,84.0,14260,IR1,Lvl,1Fam,Gtl,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,BrkFace,350.0,Gd,TA,PConc,12,2008,WD,Normal,250000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-12-01
6,50,RL,85.0,14115,IR1,Lvl,1Fam,Gtl,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,None,0.0,TA,TA,Wood,10,2009,WD,Normal,143000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,0.0,Average,5,Wood,0,Warranty Deed - Conventional,0,Normal Sale,2009-10-01
7,20,RL,75.0,10084,Reg,Lvl,1Fam,Gtl,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,Stone,186.0,Gd,TA,PConc,8,2007,WD,Normal,307000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,4.0,Stone,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2007-08-01
8,60,RL,,10382,IR1,Lvl,1Fam,Gtl,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,Stone,240.0,TA,TA,CBlock,11,2009,WD,Normal,200000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Hard Board,4.0,Stone,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2009-11-01
9,50,RM,51.0,6120,Reg,Lvl,1Fam,Gtl,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,None,0.0,TA,TA,BrkTil,4,2008,WD,Abnorml,129900,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,3,Brick Face,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,1,"Abnormal Sale -  trade, foreclosure, short sale",2008-04-01
10,190,RL,50.0,7420,Reg,Lvl,2fmCon,Gtl,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,None,0.0,TA,TA,BrkTil,1,2008,WD,Normal,118000,0,Regular,0,Near Flat/Level,1,Two-family Conversion,0,Gentle slope,2,One and one-half story: 2nd level unfinished,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,0,Normal Sale,2008-01-01
11,20,RL,70.0,11200,Reg,Lvl,1Fam,Gtl,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,None,0.0,TA,TA,CBlock,2,2008,WD,Normal,129500,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Hard Board,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-02-01
12,60,RL,85.0,11924,IR1,Lvl,1Fam,Gtl,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Stone,286.0,Ex,TA,PConc,7,2006,New,Partial,345000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,3,Hip,1,Standard (Composite) Shingle,5,Wood Shingles,4.0,Stone,2.0,Excellent,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2006-07-01
13,20,RL,,12968,IR2,Lvl,1Fam,Gtl,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,None,0.0,TA,TA,CBlock,9,2008,WD,Normal,144000,2,Moderately Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Hard Board,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-09-01
14,20,RL,91.0,10652,IR1,Lvl,1Fam,Gtl,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,Stone,306.0,Gd,TA,PConc,8,2007,New,Partial,279500,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,4.0,Stone,1.0,Good,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2007-08-01
15,20,RL,,10920,IR1,Lvl,1Fam,Gtl,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,BrkFace,212.0,TA,TA,CBlock,5,2008,WD,Normal,157000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Metal Siding,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-05-01
16,45,RM,51.0,6120,Reg,Lvl,1Fam,Gtl,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,BrkTil,7,2007,WD,Normal,132000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,2,One and one-half story: 2nd level unfinished,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,0,Normal Sale,2007-07-01
17,20,RL,,11241,IR1,Lvl,1Fam,Gtl,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,3,2010,WD,Normal,149000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2010-03-01
18,90,RL,72.0,10791,Reg,Lvl,Duplex,Gtl,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,None,0.0,TA,TA,Slab,10,2006,WD,Normal,90000,0,Regular,0,Near Flat/Level,2,Duplex,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,3,Slab,0,Warranty Deed - Conventional,0,Normal Sale,2006-10-01
19,20,RL,66.0,13695,Reg,Lvl,1Fam,Gtl,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,6,2008,WD,Normal,159000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-06-01
20,20,RL,70.0,7560,Reg,Lvl,1Fam,Gtl,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,None,0.0,TA,TA,CBlock,5,2009,COD,Abnorml,139000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,3,Brick Face,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,4,Court Officer Deed/Estate,1,"Abnormal Sale -  trade, foreclosure, short sale",2009-05-01
